alpha,theta,lambda,shock_country,mean_CR,mean_M,share_high_M,share_assets_shock_country,network_density,spectral_radius,average_degree,clustering_coefficient,initial_defaults_ratio,initial_total_capital_loss,mean_CR_after_shock,L_mean,L_std,N_mean,cascade_depth_mean
0.01788317838587749,0.03452876395776841,0.12194647038571445,RO,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0021581836449163184,0.028230022404779686,105160.15603364122,5.815384615384615,0.059140904871609536,0.0,719.7656378129559,0.06675388259235047,9038262.298696764,7876052.545051268,57.1,7.5
0.010137920057375124,0.04249943714495279,0.06233804026764089,NL,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.08491541410621906,0.028174010455563853,62291.99502131657,5.803846153846154,0.06464584297736205,0.028846153846153848,5288.607142551249,0.06681169044381953,9245877.27097899,2194593.9391638697,94.9,9.7
0.009210036669792155,0.0415372886375967,0.054381128360486856,FR,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.333459976667272,0.028416728902165796,38419.77292303304,5.853846153846154,0.07300265396584446,0.028846153846153848,25755.965439300573,0.06673344363989686,7485074.899333494,1259005.2383479816,94.4,9.3
0.011367582997902293,0.03953274009945034,0.14542995735513536,PT,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.009122124643713184,0.028108663181478716,86612.72408941232,5.790384615384616,0.05327149696054569,0.0,850.3829559488388,0.06689852814843668,15992545.090469737,3805250.2504897406,95.4,8.7
0.006400776361896088,0.027933546113001688,0.19540415662509686,PL,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.007420625800850038,0.028286034353995515,168281.98047776785,5.826923076923077,0.05765658618450677,0.0,832.9041214734589,0.0669156305455429,832.9041214734589,0.0,0.0,0.0
0.019002213833467264,0.0495929593678714,0.05910866849031813,LU,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0010720205600203395,0.027763256161314413,44668.324530422244,5.719230769230769,0.062040528099734885,0.009615384615384614,208.84510607345692,0.06692435763803636,7229237.0964576695,2079589.297064763,98.1,6.9
0.009848098671104736,0.04200380739212947,0.21446930576648926,BE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.02288107687537083,0.028930171769977597,159926.981365565,5.959615384615385,0.05483628405941313,0.009615384615384614,2141.6692587962575,0.06686078307194275,17789073.503520697,2783965.781829379,98.7,6.0
0.011786042824740234,0.04700017236425335,0.18170798590864867,LV,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.00017912712218500905,0.028640776699029126,139709.94073555234,5.9,0.07985747158052688,0.0,16.883712621997063,0.06695877626329706,15276324.410968676,4638906.293266625,98.6,5.5
0.005485638896751817,0.0466197043553704,0.1462148927233523,SE,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.03484225205849437,0.02812733383121732,116454.23038193674,5.7942307692307695,0.06342220734330441,0.028846153846153848,1670.6579607982198,0.06689595096205939,12292854.985110585,4295741.257211264,97.1,5.5
0.015172258221293127,0.02600881219138912,0.12829977888813826,RO,0.06699103736977416,0.3390000104911889,0.009615384615384616,0.0021581836449163184,0.028454070201643016,92547.78504586281,5.861538461538461,0.06206228550914263,0.0,610.6559963823829,0.06678983300644203,610.6559963823829,0.0,0.0,0.0
