LEI_Code,BankName,Country,TotalAssets,TotalAssets_norm,CR,M_i_final,lat,lon
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.2,NL,635865.206173,0.2455652634491613,0.072385575801764,0.1427110920931142,52.3730796,4.8924534
DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,DE,199986.557141,0.0758901683913499,0.046074688041524,0.5479766837601179,52.5173885,13.3951309
DSNHHQ2B9X5N6OUJ1236,Norddeutsche Landesbank - Girozentrale -,DE,120837.12826458,0.045079558837056,0.0572760406590092,0.4503265537916106,51.8705854,10.0249104
DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG,DE,42356.24117,0.0145291934829214,0.063760904244563,0.3353379876334137,48.2503727,11.6341586
F0HUI1NY1AZMJMD8LP67,HSBC Continental Europe,FR,257233.543,0.0981747831321052,0.0406684583591028,0.2277487071970581,48.8534951,2.3483915
F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - gruppen,SE,325811.513433992,0.1248702261828271,0.0481396683890847,0.2296849677478922,59.3251172,18.0710935
FR9695005MSX1OYEMGDF,Groupe BPCE,FR,1486359.288298,0.576638291575554,0.0495901097260288,0.4283894504797133,48.8247708,2.3830757
FR969500TJ5KRTCJQWXH,Groupe Crédit Agricole,FR,2187749.11120205,0.8496692949020995,0.0521573741333453,0.2509541387924593,47.6656527,-2.7862225
H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - Grupp,SE,60445.5843134616,0.021570857542899,0.0327862703376993,0.4577420396034796,59.3251172,18.0710935
J48C8PCSJVUBR8KCW529,BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,IT,56571.210957,0.0200626747745826,0.0700331268498287,0.4088669560381888,41.8933203,12.4829321
J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena S.p.A.,IT,125584.369564,0.0469275241377889,0.071636160847352,0.4626635471382225,43.7145712,10.4217984
JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,GR,101507.349952,0.0375550288333103,0.0781423177912814,0.2249949864242255,37.9755648,23.7348324
